Date,Open,High,Low,Close
5/22/2009,4.43,4.43,4.25,4.26
5/26/2009,4.26,4.57,4.23,4.53
5/27/2009,4.57,4.8,4.55,4.71
5/28/2009,4.75,4.84,4.54,4.7
5/29/2009,4.71,4.78,4.38,4.54
6/1/2009,4.69,4.9,4.64,4.73
6/2/2009,4.68,4.7,4.55,4.56
6/3/2009,4.55,4.6,4.34,4.48
6/4/2009,4.57,4.74,4.54,4.65
6/5/2009,4.84,4.87,4.61,4.63
6/8/2009,4.58,4.67,4.5,4.61
6/9/2009,4.7,4.8,4.68,4.75
6/10/2009,4.81,4.86,4.7,4.82
6/11/2009,4.83,4.87,4.68,4.7
6/12/2009,4.75,4.79,4.33,4.47
6/15/2009,4.39,4.45,4.21,4.26
6/16/2009,4.3,4.35,4.1,4.13
6/17/2009,4.13,4.17,3.86,4.08
6/18/2009,4.03,4.07,3.81,3.85
6/19/2009,3.92,3.98,3.86,3.87
6/22/2009,3.84,3.86,3.61,3.62
6/23/2009,3.67,3.69,3.43,3.55
6/24/2009,3.63,3.78,3.6,3.66
6/25/2009,3.62,3.68,3.53,3.64
6/26/2009,3.69,3.71,3.62,3.62
6/29/2009,3.72,3.78,3.65,3.72
6/30/2009,3.77,3.98,3.74,3.87
7/1/2009,3.93,4.05,3.88,3.91
7/2/2009,3.84,3.89,3.76,3.78
7/6/2009,3.74,3.77,3.5,3.55
7/7/2009,3.63,3.63,3.35,3.43
7/8/2009,3.43,3.49,3.22,3.36
7/9/2009,3.43,3.56,3.38,3.48
7/10/2009,3.43,3.56,3.42,3.49
7/13/2009,3.53,3.6,3.36,3.56
7/14/2009,3.59,3.61,3.49,3.55
7/15/2009,3.8,3.97,3.8,3.86
7/16/2009,3.9,3.95,3.76,3.92
7/17/2009,3.95,4,3.89,4
7/20/2009,4.03,4.18,4,4.17
7/21/2009,4.25,4.25,3.95,4.08
7/22/2009,3.54,3.64,3.41,3.55
7/23/2009,3.54,3.6,3.49,3.59
7/24/2009,3.56,3.81,3.54,3.77
7/27/2009,3.82,3.84,3.71,3.8
7/28/2009,3.77,3.81,3.7,3.77
7/29/2009,3.77,3.79,3.65,3.71
7/30/2009,3.78,3.81,3.65,3.66
7/31/2009,3.66,3.73,3.65,3.66
8/3/2009,3.75,3.78,3.7,3.74
8/4/2009,3.75,3.85,3.68,3.76
8/5/2009,3.77,3.79,3.7,3.75
8/6/2009,3.75,3.79,3.66,3.71
8/7/2009,3.77,3.77,3.66,3.7
8/10/2009,3.71,3.71,3.65,3.68
8/11/2009,3.68,3.69,3.55,3.59
8/12/2009,3.6,3.63,3.56,3.59
8/13/2009,3.61,3.71,3.52,3.68
8/14/2009,3.66,3.76,3.59,3.69
8/17/2009,3.55,3.61,3.52,3.55
8/18/2009,3.55,3.58,3.49,3.56
8/19/2009,3.49,3.53,3.47,3.52
8/20/2009,3.53,3.55,3.49,3.52
8/21/2009,3.53,3.71,3.51,3.7
8/24/2009,3.93,4.1,3.88,4
8/25/2009,4.13,4.14,4.02,4.02
8/26/2009,4.03,4.08,4,4.06
8/27/2009,4.04,4.26,4,4.23
8/28/2009,4.45,4.55,4.3,4.47
8/31/2009,4.32,4.38,4.23,4.36
9/1/2009,4.36,4.57,4.18,4.22
9/2/2009,4.19,4.33,4.13,4.28
9/3/2009,4.39,4.56,4.35,4.53
9/4/2009,4.55,4.56,4.38,4.53
9/8/2009,4.6,5.24,4.57,5.19
9/9/2009,5.15,5.3,5,5.2
9/10/2009,5.29,5.45,5.2,5.38
9/11/2009,5.49,5.75,5.45,5.68
9/14/2009,5.62,5.78,5.51,5.72
9/15/2009,5.77,5.94,5.72,5.88
9/16/2009,5.85,5.87,5.57,5.69
9/17/2009,5.69,5.78,5.55,5.67
9/18/2009,5.74,5.75,5.43,5.7
9/21/2009,5.57,5.89,5.56,5.81
9/22/2009,5.91,6.3,5.84,6.08
9/23/2009,6.18,6.28,6,6.02
